Category,Description,Data.Kilocalories,Data.Protein,Data.Fat.Total Lipid,Data.Carbohydrate,Data.Sugar Total,Data.Cholesterol,Data.Water,Data.Major Minerals.Calcium,Data.Major Minerals.Iron,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin A - RAE,missing_count
MILK,"MILK,HUMAN,MATURE,FLUID",70.0,1.03,4.38,6.89,6.889999866,14,87.5,32,0.03,5.0,61,0
MILK,"MILK,INDIAN BUFFALO,FLUID",97.0,3.75,6.89,5.18,0.0,19,83.39,169,0.12,2.3,53,0
MILK,"MILK,SHEEP,FLUID",108.0,5.98,7.0,5.36,0.0,27,80.7,193,0.1,4.2,44,0
MILK SHAKES,"MILK SHAKES,THICK CHOC",119.0,3.05,2.7,21.15,20.85000038,11,72.2,132,0.31,0.0,18,0
MILK SHAKES,"MILK SHAKES,THICK VANILLA",112.0,3.86,3.03,17.75,17.75,12,74.45,146,0.1,0.0,25,0
WHEY,"WHEY,ACID,FLUID",24.0,0.76,0.09,5.12,5.119999886,1,93.42,103,0.08,0.1,2,0
WHEY,"WHEY,ACID,DRIED",339.0,11.73,0.54,73.45,73.44999695,3,3.51,2054,1.24,0.9,17,0
WHEY,"WHEY,SWEET,FLUID",27.0,0.85,0.36,5.14,5.139999866,2,93.12,47,0.06,0.1,3,0
WHEY,"WHEY,SWEET,DRIED",353.0,12.93,1.07,74.46,74.45999908,6,3.19,796,0.88,1.5,8,0
YOGURT,"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",61.0,3.47,3.25,4.66,4.659999847,13,87.9,121,0.05,0.5,27,0
YOGURT,"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",63.0,5.25,1.55,7.04,7.039999962,6,85.07,183,0.08,0.8,14,0
YOGURT,"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",56.0,5.73,0.18,7.68,7.679999828,2,85.23,199,0.09,0.9,2,0
YOGURT,"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",85.0,4.93,1.25,13.8,13.80000019,5,79.0,171,0.07,0.8,12,0
YOGURT,"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",99.0,3.98,1.15,18.64,18.63999939,5,75.3,138,0.06,0.6,11,0
YOGURT,"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",102.0,4.37,1.08,19.05,19.04999924,4,74.48,152,0.07,0.7,10,0
YOGURT,"YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ",105.0,4.86,1.41,18.6,0.0,6,74.1,169,0.07,0.7,0,0
EGG,"EGG,WHOLE,RAW,FRESH",143.0,12.58,9.94,0.77,0.769999981,423,75.84,53,1.83,0.0,140,0
EGG,"EGG,WHITE,RAW,FRESH",48.0,10.9,0.17,0.73,0.709999979,0,87.57,7,0.08,0.0,0,0
EGG,"EGG,YOLK,RAW,FRSH",317.0,15.86,26.54,3.59,0.560000002,1234,52.31,129,2.73,0.0,381,0
EGG,"EGG,YOLK,RAW,FROZEN",303.0,15.5,25.6,1.15,0.50999999,1075,56.2,138,3.34,0.0,433,0
EGG,"EGG,YOLK,RAW,FRZ,SUGARED",307.0,13.8,22.75,10.8,0.0,959,51.25,123,3.14,0.0,395,0
EGG,"EGG,WHL,CKD,FRIED",196.0,13.63,15.31,0.88,0.829999983,457,69.13,59,1.98,0.0,198,0
EGG,"EGG,WHL,CKD,HARD-BOILED",155.0,12.58,10.61,1.12,1.120000005,424,74.62,50,1.19,0.0,169,0
EGG,"EGG,WHOLE,COOKED,OMELET",157.0,10.59,12.03,0.68,0.649999976,356,75.87,47,1.55,0.0,155,0
EGG,"EGG,WHL,CKD,POACHED",142.0,12.53,9.9,0.76,0.769999981,422,75.54,53,1.83,0.0,139,0
EGG,"EGG,WHL,CKD,SCRMBLD",167.0,11.09,12.21,2.2,1.730000019,352,73.15,71,1.2,0.2,143,0
EGG,"EGG,WHOLE,DRIED",594.0,47.35,40.95,4.95,3.079999924,1715,3.1,231,6.79,0.0,275,0
EGG,"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",615.0,48.17,43.95,2.38,0.0,2017,1.87,222,8.28,0.0,616,0
EGG,"EGG,WHITE,DRIED,FLAKES,GLUCOSE RED",351.0,76.92,0.04,4.17,4.170000076,0,14.62,83,0.23,0.0,0,0
EGG,"EGG,WHITE,DRIED,PDR,GLUCOSE RED",376.0,82.4,0.04,4.47,4.46999979,0,8.54,89,0.24,0.0,0,0
EGG,"EGG,YOLK,DRIED",666.0,34.25,55.8,3.6,3.599999905,2335,2.95,284,5.42,0.0,417,0
EGG,"EGG,DUCK,WHOLE,FRESH,RAW",185.0,12.81,13.77,1.45,0.930000007,884,70.83,64,3.85,0.0,194,0
EGG,"EGG,GOOSE,WHOLE,FRESH,RAW",185.0,13.87,13.27,1.35,0.939999998,852,70.43,60,3.64,0.0,187,0
EGG,"EGG,QUAIL,WHOLE,FRESH,RAW",158.0,13.05,11.09,0.41,0.409999996,844,74.35,64,3.65,0.0,156,0
EGG,"EGG,TURKEY,WHL,FRSH,RAW",171.0,13.68,11.88,1.15,0.0,933,72.5,99,4.1,0.0,166,0
EGG SUBSTITUTE,"EGG SUBSTITUTE,FROZEN",160.0,11.29,11.11,3.2,3.200000048,2,73.1,73,1.98,0.5,11,0
EGG SUBSTITUTE,"EGG SUBSTITUTE,LIQUID",84.0,12.0,3.31,0.64,0.639999986,1,82.75,53,2.1,0.0,18,0
EGG SUBSTITUTE,"EGG SUBSTITUTE,POWDER",444.0,55.5,13.0,21.8,21.79999924,572,3.86,326,3.16,0.8,369,0
BUTTER,"BUTTER,WITHOUT SALT",717.0,0.85,81.11,0.06,0.059999999,215,17.94,24,0.02,0.0,684,0
CHEESE,"CHEESE,PARMESAN,SHREDDED",415.0,37.86,27.34,3.41,0.0,72,25.0,1253,0.87,0.0,122,0
CHEESE,"CHEESE,PAST PROCESS,AMERICAN,WO/DI NA PO4",375.0,22.15,31.25,1.6,0.50999999,94,39.16,616,0.39,0.0,254,0
CHEESE,"CHEESE,PAST PROCESS,SWISS,WO/DI NA PO4",334.0,24.73,25.01,2.1,0.0,85,42.31,772,0.61,0.0,225,0
CHEESE FD,"CHEESE FD,PAST PROCESS,AMERICAN,W/DI NA PO4",328.0,19.61,24.6,7.29,7.429999828,64,43.15,574,0.84,0.0,201,0
CHEESE SPRD,"CHEESE SPRD,PAST PROCESS,AMERICAN,W/DI NA PO4",290.0,16.41,21.23,8.73,0.0,55,47.65,562,0.33,0.0,0,0
MILK,"MILK,NONFAT,FLUID,WO/ VIT A (FAT FREE OR SKIM)",35.0,3.41,0.18,4.85,5.090000153,2,90.8,123,0.04,1.0,2,0
MILK,"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",56.0,3.95,1.98,5.49,0.0,8,87.71,143,0.06,1.1,17,0
MILK,"MILK,CND,EVAP,W/ VIT A",134.0,6.81,7.56,10.04,0.0,29,74.04,261,0.19,1.9,0,0
MILK,"MILK,DRY,NONFAT,REG,W/ VIT A",362.0,36.16,0.77,51.98,51.97999954,20,3.16,1257,0.32,6.8,653,0
MILK,"MILK,DRY,NONFAT,INST,WO/ VIT A",358.0,35.1,0.72,52.19,52.18999863,18,3.96,1231,0.31,5.6,4,0
CHEESE,"CHEESE,GOAT,HARD TYPE",452.0,30.52,35.59,2.17,2.170000076,105,29.01,895,1.88,0.0,486,0
CHEESE,"CHEESE,GOAT,SEMISOFT TYPE",364.0,21.58,29.84,2.54,2.539999962,79,45.52,298,1.62,0.0,407,0
CHEESE,"CHEESE,GOAT,SOFT TYPE",268.0,18.52,21.08,0.89,0.889999986,46,60.75,140,1.9,0.0,288,0
EGG,"EGG,YOLK,RAW,FRZ,SALTED",274.0,14.0,23.0,1.6,0.0,955,50.8,114,3.75,0.0,357,0
CHEESE SUB,"CHEESE SUB,MOZZARELLA",248.0,11.47,12.22,23.67,23.67000008,0,47.36,610,0.4,0.1,437,0
No Category,CHEESE FONDUE,229.0,14.23,13.47,3.77,0.0,45,61.61,476,0.39,0.0,109,0
CHEESE SAU,"CHEESE SAU,PREP FROM RECIPE",197.0,10.33,14.92,5.48,0.0,38,66.86,311,0.35,0.6,166,0
CHEESE,"CHEESE,MEXICAN,QUESO ANEJO",373.0,21.44,29.98,4.63,4.630000114,105,38.06,680,0.47,0.0,54,0
CHEESE,"CHEESE,MEXICAN,QUESO ASADERO",356.0,22.6,28.26,2.87,2.869999886,105,42.16,661,0.51,0.0,55,0
CHEESE,"CHEESE,MEXICAN,QUESO CHIHUAHUA",374.0,21.56,29.68,5.56,5.559999943,105,39.13,651,0.47,0.0,56,0
CHEESE,"CHEESE,LOFAT,CHEDDAR OR COLBY",173.0,24.35,7.0,1.91,0.519999981,21,63.1,415,0.42,0.0,60,0
CHEESE,"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",398.0,24.35,32.62,1.91,0.49000001,100,38.98,703,0.72,0.0,264,0
EGG,"EGG,WHOLE,RAW,FROZEN",148.0,11.95,10.2,1.05,0.0,432,75.85,59,1.85,0.0,158,0
EGG,"EGG,WHITE,RAW,FROZEN",47.0,9.8,0.0,1.05,0.0,0,88.55,7,0.05,0.0,0,0
EGG,"EGG,WHITE,DRIED",382.0,81.1,0.0,7.8,5.400000095,0,5.8,62,0.15,0.0,0,0
SOUR CREAM,"SOUR CREAM,REDUCED FAT",181.0,7.0,14.1,7.0,0.300000012,35,71.0,141,0.06,0.9,119,0
SOUR CREAM,"SOUR CREAM,LIGHT",136.0,3.5,10.6,7.1,0.219999999,35,78.1,141,0.07,0.9,90,0
SOUR CREAM,"SOUR CREAM,FAT FREE",74.0,3.1,0.0,15.6,0.389999986,9,80.6,125,0.0,0.0,73,0
USDA COMMODITY,"USDA COMMODITY,CHS,CHEDDAR,RED FAT",282.0,27.2,18.3,2.0,0.579999983,56,48.2,905,0.13,0.0,150,0
YOGURT,"YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR",47.0,3.86,0.18,7.5,7.5,2,87.43,143,0.12,1.1,0,0
PARMESAN CHS TOPPING,"PARMESAN CHS TOPPING,FAT FREE",370.0,40.0,5.0,40.0,1.5,20,8.6,800,5.0,0.0,40,0
CHEESE,"CHEESE,CREAM,FAT FREE",105.0,15.69,1.0,7.66,5.480000019,12,71.87,351,0.19,0.0,11,0
YOGURT,"YOGURT,CHOC,NONFAT MILK",108.0,3.53,0.0,23.53,14.97000027,1,71.57,88,0.42,0.0,0,0
No Category,KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU,276.0,12.0,21.0,9.2,6.699999809,75,51.5,359,0.19,0.4,0,0
No Category,KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT,215.0,16.3,9.5,16.2,8.199999809,35,51.5,418,0.16,0.4,0,0
No Category,KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT,148.0,22.7,1.0,11.7,6.699999809,16,58.0,712,0.05,0.2,0,0
No Category,KRAFT VELVEETA PAST PROCESS CHS SPRD,,16.3,22.0,9.8,8.100000381,80,45.8,466,0.18,0.2,0,0
No Category,KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,222.0,19.6,10.6,11.8,8.5,42,51.3,574,0.14,0.1,0,0
No Category,KRAFT BREAKSTONE'S RED FAT SOUR CRM,152.0,4.5,12.0,6.5,6.400000095,50,76.2,161,0.06,1.1,0,0
No Category,KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM,91.0,4.7,1.3,15.1,7.199999809,9,77.7,141,0.05,1.2,0,0
No Category,KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT),96.0,3.8,0.8,18.2,17.39999962,9,76.5,125,0.1,0.0,0,0
No Category,KRAFT BREYERS LT N' LVLY LOWFAT STR'BERY YOGURT (1% MILKFAT),108.0,3.2,0.8,21.9,19.60000038,9,73.3,91,0.11,0.0,0,0
No Category,KRAFT BREYERS SMOTH&CRMY LOWFAT STR'BERY YOGURT (1% MILKFAT),102.0,3.8,0.9,19.9,17.20000076,9,74.8,108,0.13,0.0,0,0
No Category,KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T),55.0,3.4,0.2,9.9,7.699999809,5,86.0,95,0.11,0.6,0,0
CREAM,"CREAM,HALF & HALF,FAT FREE",59.0,2.6,1.4,9.0,5.0,5,86.0,96,0.0,0.7,12,0
